epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,17893.7,0.45963,0.93133,0.57129,0.91427,0,0.87348,0.82304,0.88962,0.83851,0.87046,0.81881,0.88243,0.79613,0.30523,0.73769,1.22003,0.81527,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,18441.1,0.46085,0.93237,0.56522,0.91417,0,0.87635,0.82297,0.88972,0.83894,0.87354,0.81803,0.88288,0.79671,0.30489,0.73762,1.20423,0.81496,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,18983.4,0.45855,0.92203,0.56329,0.91344,0,0.8774,0.823,0.88971,0.83938,0.876,0.81704,0.88325,0.79732,0.30462,0.7372,1.19009,0.81469,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,19525.6,0.45563,0.91847,0.55602,0.91175,0,0.87776,0.82269,0.88989,0.83987,0.87367,0.81902,0.88349,0.79767,0.30424,0.73646,1.16724,0.8143,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,20064.6,0.45501,0.92354,0.55773,0.91058,0,0.8769,0.82353,0.89011,0.84012,0.87499,0.8187,0.88376,0.7977,0.30384,0.73606,1.14084,0.81424,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,20620.6,0.45275,0.92086,0.55402,0.91058,0,0.87845,0.82324,0.89007,0.84043,0.87776,0.81716,0.88365,0.79821,0.30375,0.7356,1.13251,0.8143,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,21158,0.45091,0.92216,0.54917,0.91195,0,0.87893,0.8223,0.89051,0.8409,0.87628,0.81789,0.88391,0.79844,0.30372,0.73459,1.11072,0.81437,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,21700.2,0.45162,0.91127,0.54629,0.90949,0,0.87949,0.82213,0.89077,0.84115,0.87813,0.81759,0.88453,0.79881,0.30357,0.73437,1.09961,0.81437,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,22236.9,0.45016,0.91035,0.54395,0.90951,0,0.87877,0.8243,0.89105,0.8414,0.87576,0.82015,0.88469,0.79934,0.30357,0.73529,1.09034,0.81444,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,22867.6,0.44614,0.89984,0.53835,0.9096,0,0.87801,0.82487,0.89114,0.84156,0.87643,0.82038,0.88502,0.79948,0.30312,0.73338,1.07582,0.8141,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,23405,0.44795,0.90574,0.53641,0.90969,0,0.87784,0.82583,0.89134,0.84187,0.87555,0.82128,0.8852,0.79963,0.3028,0.73312,1.0629,0.81383,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24045,0.44596,0.90117,0.53735,0.90892,0,0.87696,0.8261,0.89167,0.84246,0.87424,0.8223,0.88526,0.8002,0.30237,0.73203,1.06131,0.81333,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24594.1,0.44381,0.89326,0.52994,0.90764,0,0.87756,0.82638,0.89182,0.84272,0.87562,0.82148,0.88586,0.80069,0.30177,0.73159,1.04473,0.81305,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
